FID,gid,nid_id1,lat,lon,cordfrom,dmname,owname,county,city,state,water,btyear,stor,fedreg,esth,esthfr,huc02,qyr,q01,q02,q03,q04,q05,q06,q07,q08,q09,q10,q11,q12,mwhyr,mwh01,mwh02,mwh03,mwh04,mwh05,mwh06,mwh07,mwh08,mwh09,mwh10,mwh11,mwh12,cf,mw
ReAtlas_NonPowered_Dams.97,97,WV00701,38.6622091400,-80.6929337200,NHD,SUTTON DAM,CELRH,BRAXTON,SUTTON,WV,ELK RIVER,1960,265300,CE,109,Head estimated by upstream/downstream pool elevation,5,1237.68863000,1412.89126500,1628.62607100,1983.15773300,1954.91264300,1499.44475400,1049.18081300,827.530282700,586.876453000,739.058250800,628.802142900,1250.15802200,1330.83053400,85288.8750300,8269.10591000,8609.29391200,11606.6549000,11072.2716000,8775.66998900,5942.37034300,4843.21456300,3434.76081000,4185.89224900,3680.13565100,7080.66890600,7788.83619900,47.9796686500,20.2922888400
ReAtlas_NonPowered_Dams.182,182,TN07305,36.3813402100,-82.9657875200,NHD,John Sevier,TVA,Hawkins,McCloud,TN,Holston River,1955,5500,TVA,15,Lock/Dam lift from USACE,6,4629.39047700,5373.12580900,5750.19220700,6422.57866700,6287.77231500,4818.11245500,3891.16269100,4044.41923700,3083.57722300,4614.91447800,2569.10400200,3907.72195300,4904.40516400,43556.8498700,4293.66827200,4150.30656900,5132.28672300,4862.48020700,3850.15674700,3009.12638400,3231.89800100,2464.08853200,3568.82043200,2052.97265200,3021.93204500,3919.11330500,42.6013356300,11.6715663100
ReAtlas_NonPowered_Dams.99,99,KY01201,37.7457643400,-84.5872828500,NHD,,COMMONWEALTH OF KENTUCKY,JESSAMINE,CAMP NELSON KENTUCKY,KY,KENTUCKY RIVER,1900,14020,,25,Head estimated from NID,5,5391.95935500,8370.28906600,9751.15797100,9521.90036300,9107.44927200,5966.92219000,4063.01144800,2030.34452000,1567.97396100,2358.13330600,2131.58682700,4068.15237400,6124.86531600,84552.8028300,11147.8389200,11730.1281800,12681.5944600,11738.3363600,7946.95223500,5236.70169000,2704.08267600,2088.28165900,3039.33199000,2838.92066300,5243.32768600,8157.30632300,47.9796686500,20.1171594400
ReAtlas_NonPowered_Dams.105,105,FL00288,27.3150271600,-81.0222399800,NHD,STRUCTURE 65D,,OKEECHOBEE,NO D/S TOWN,FL,,1965,8140,,27,Head estimated from NID,3,2668.07552000,1641.84487700,1205.01112900,1297.13149100,736.267762300,472.833657000,2544.14860100,4255.39541300,5550.89662100,6640.05471200,3743.30096400,1951.70067700,1875.43893200,45688.0008500,2387.83871200,1582.92472200,1886.50026000,1036.25875400,687.671853900,3580.75743000,6188.89034100,8073.01957700,9345.53321100,5444.11903700,2746.91765200,2727.56930100,26.6610582900,19.5623337800
ReAtlas_NonPowered_Dams.107,107,PA00120,40.3901076000,-79.8599347900,NHD,BRADDOCK LOCKS AND DAM,CELRP,ALLEGHENY,BRADDOCK,PA,MONONGAHELA RIVER,1905,13700,CE,9,Lock/Dam lift from USACE,5,14506.2144300,19975.5660200,20699.5689600,25773.1712900,22865.8954300,17188.7163000,11762.5346900,7973.23591700,5338.92698000,6400.90179700,6134.76080100,13082.1154800,17352.2973500,81891.3427900,9577.49255400,8964.17586600,12357.2146000,10609.6364500,8241.30851600,5457.74458000,3822.85075400,2559.80398000,2969.97951600,2941.37476900,6070.02204500,8319.73914900,47.9796686500,19.4839336400
ReAtlas_NonPowered_Dams.108,108,PA00124,39.7867728000,-79.9199270500,NHD,GRAYS LANDING LOCK AND DAM,CELRP,FAYETTE,GRAYS LANDING,PA,MONONGAHELA RIVER,1995,12500,CE,15,Lock/Dam lift from USACE,5,8667.49319600,11935.4421100,12368.0353700,15399.5232800,13662.4199200,10270.2936200,7028.13886300,4764.02499100,3190.01993900,3824.55209400,3665.53229700,7816.59112400,10368.0336400,81550.4118200,9537.61942800,8926.85610800,12305.7689100,10565.4663000,8206.99820700,5435.02283600,3806.93541900,2549.14697500,2957.61486400,2929.12920400,6044.75126100,8285.10231700,47.9796686500,19.4028179100
ReAtlas_NonPowered_Dams.115,115,KY01170,37.8947368700,-84.2613582500,NHD,,KY RIVER AUTHORITY,MADISON,NO TOWN,KY,KENTUCKY RIVER,1907,0,,25,Head estimated from NID,5,4833.46823700,7503.30699200,8741.14755300,8535.63610700,8164.11324200,5348.87727700,3642.17077400,1820.04445900,1405.56555300,2113.88137000,1910.80023800,3646.77921100,5490.46089000,78523.5676400,10352.9162100,10893.6839800,11777.3037300,10901.3068500,7380.27623500,4863.28643900,2511.26174200,1939.37185500,2822.60532000,2636.48479100,4869.43995300,7575.63053300,47.9796686500,18.6826583800
ReAtlas_NonPowered_Dams.117,117,KY01199,37.9267203400,-84.8215928500,NHD,,COMMONWEALTH OF KENTUCKY,WOODFORD,TYRONE KENTUCKY,KY,KENTUCKY RIVER,1891,16310,,20,Head estimated from NID,5,6231.52214600,9673.59697100,11269.4760600,11004.5215600,10525.5377700,6896.01039700,4695.64849200,2346.48223600,1812.11760300,2725.30984600,2463.48862100,4701.58989400,7078.54628400,78174.5749400,10306.9033700,10845.2677300,11724.9603000,10852.8567300,7347.47509500,4841.67189100,2500.10060800,1930.75244800,2810.06044100,2624.76711200,4847.79805600,7541.96115500,47.9796686500,18.5996245600
ReAtlas_NonPowered_Dams.119,119,KY01202,37.8432186700,-84.4404627100,NHD,,COMMONWEALTH OF KENTUCKY,JESSAMINE,CAMP NELSON KENTUCKY,KY,KENTUCKY RIVER,1907,15030,,24,Head estimated from NID,5,5010.55541300,7778.21093000,9061.40312600,8848.36221300,8463.22760300,5544.84785800,3775.61154700,1886.72670800,1457.06224700,2191.32912900,1980.80757100,3780.38882600,5691.61876800,75429.0262600,9944.91733200,10464.3739400,11313.1710500,10471.6964000,7089.42635500,4671.62880600,2412.29523200,1862.94299900,2711.36904700,2532.58335700,4677.53981500,7277.08192100,47.9796686500,17.9463920400
ReAtlas_NonPowered_Dams.125,125,KY03007,37.2466965400,-85.3398327800,NHD,GREEN RIVER LAKE DAM,CELRL,TAYLOR,GREENSBURG,KY,GREEN RIVER,1969,723200,CE,123,Head estimated from NID,5,917.351420800,1561.71672000,1615.92916400,1439.31327200,1200.06903100,980.732908200,542.210122300,235.307681000,215.168612000,400.702831700,537.161421500,876.923167800,1449.63478500,70775.3848300,10233.3444100,9563.87712000,9431.28048400,7609.93803300,6426.37521600,3438.29006800,1541.88305200,1409.91927900,2540.95692800,3519.81749300,5560.78924800,9498.91349400,47.9796686500,16.8391780400
ReAtlas_NonPowered_Dams.127,127,NC00182,34.4047346800,-78.2933039200,NHD,,CESAW,BLADEN,NAVASSA,NC,CAPE FEAR RIVER,1915,20000,CE,11,Lock/Dam lift from USACE,3,5609.06143000,6288.23660800,7073.82177800,9097.49869800,8438.77701800,3677.41180300,3810.80764100,3247.13923900,3834.49901400,6923.06548200,4148.21047000,4625.96206800,6329.00564900,38701.1857700,3684.95152500,3744.15100400,5331.19915700,4785.66150100,2154.98955900,2161.12303700,1902.84676600,2247.04378500,3926.09591200,2430.88093700,2623.40011200,3708.84247400,26.6610582900,16.5707735000
ReAtlas_NonPowered_Dams.128,128,FL00425,27.1116215600,-80.2853458500,NHD,STRUCTURE 80,CESAJ,MARTIN,PALM CITY,FL,ST LUCIE CANAL,1950,2311,CE,13,Lock/Dam lift from USACE,3,4743.35592200,2554.89701900,1985.67775700,2431.73295000,1401.99614600,1069.43484000,5083.26581300,7198.81074100,8807.15431400,11793.0523500,8023.85838300,3323.99319500,3064.32818200,38678.5741600,1769.40386400,1242.10605900,1684.10610900,939.636659600,740.641256200,3406.87306700,4985.56436700,6099.42896300,7903.86218100,5556.95432000,2227.78491400,2122.21239700,26.6610582900,16.5610918300
ReAtlas_NonPowered_Dams.129,129,WV06108,39.5644907400,-80.0507923900,NHD,OPEKISKA LOCK AND DAM,CELRP,MONONGALIA,MORGANTOWN,WV,MONONGAHELA RIVER,1967,14400,CE,22,Lock/Dam lift from USACE,5,5012.25307300,6902.04826600,7152.20904800,8905.26316300,7900.72800700,5939.12329700,4064.24439200,2754.94867500,1844.73029100,2211.66865100,2119.71040600,4520.19193900,5995.64456400,69166.7009600,8089.29907400,7571.28226700,10437.0955200,8961.06385500,6960.73726700,4609.69590200,3228.83916600,2162.05022800,2508.49086200,2484.33084800,5126.83496600,7026.98099900,47.9796686500,16.4564331900
ReAtlas_NonPowered_Dams.132,132,WV06107,39.5824108700,-80.0098541200,NHD,HILDEBRAND LOCK AND DAM,CELRP,MONONGALIA,MORGANTOWN,WV,MONONGAHELA RIVER,1960,7600,CE,21,Lock/Dam lift from USACE,5,5042.11469200,6943.16876400,7194.81993500,8958.31826200,7947.79836300,5974.50695300,4088.45803800,2771.36189900,1855.72068400,2224.84516200,2132.33905500,4547.12199400,6031.36495900,66416.1053800,7767.60684400,7270.19033600,10022.0370000,8604.70360800,6683.92526200,4426.37923400,3100.43589400,2076.07062100,2408.73413200,2385.53490500,4922.95290400,6747.53463800,47.9796686500,15.8019998900
ReAtlas_NonPowered_Dams.134,134,PA00125,39.7273516700,-79.9113771900,NHD,POINT MARION LOCK AND DAM,CELRP,FAYETTE,POINT MARION,PA,MONONGAHELA RIVER,1959,11500,CE,19,Lock/Dam lift from USACE,5,5378.55001800,7406.45200600,7674.89461200,9556.06244300,8478.11555900,6373.15619300,4361.26058100,2956.28114300,1979.54372900,2373.29805400,2274.61947200,4850.52891000,6433.80805200,64100.3207500,7496.76734800,7016.69466800,9672.59044500,8304.67637500,6450.87137800,4272.04105200,2992.33046100,2003.68257000,2324.74683100,2302.35651000,4751.30028200,6512.26283400,47.9796686500,15.2510186500
ReAtlas_NonPowered_Dams.135,135,WV10924,37.5996327400,-81.8207763800,NHD,R D BAILEY DAM,CELRH,WYOMING AND MINGO,JUSTICE,WV,GUYANDOT RIVER,1976,203700,CE,144,Head estimated by upstream/downstream pool elevation,5,702.275896000,868.402698500,1032.06183600,1160.96297600,1372.68004200,865.182715400,596.282313700,539.972913300,355.834428700,237.000509200,261.984862400,544.550464900,622.419751700,63511.7637900,6670.16235400,7160.07047700,8917.30478100,10203.3814000,6645.42980800,4432.27531800,4147.50783800,2733.14835900,1761.66806100,2012.29403100,4047.74304000,4780.77832300,47.9796686500,15.1109866900
ReAtlas_NonPowered_Dams.140,140,OH00003,40.5577498700,-81.4124697800,NHD,DOVER DAM,CELRH,TUSCARAWAS,DOVER,OH,TUSCARAWAS RIVER,1938,203000,CE,56,Head estimated from NID,5,1742.24150900,2733.43349700,2324.03560800,2935.13160000,2728.07136800,1938.48028400,1553.31617200,985.486562800,756.433279500,975.455603500,862.888037300,1121.53342400,2029.88405100,61198.0767100,8154.67690600,6262.35036600,8756.40468400,7876.14195300,5783.08578700,4484.53761600,2940.01098700,2256.67425300,2816.21180900,2574.26169600,3237.94918100,6055.77147100,47.9796686500,14.5605045100
ReAtlas_NonPowered_Dams.141,141,OH00698,39.7326206100,-81.9087163200,NHD,MUSKINGUM RIVER LOCK AND DAM NO. 8,,MORGAN,Columbus,OH,MUSKINGUM RIVER,1841,4576,,14,Head estimated from NID,5,6938.94851000,10886.6389600,9256.10102800,11689.9562700,10865.2828300,7720.52256400,6186.50220600,3924.96705000,3012.70033500,3885.01603900,3436.68523000,4466.81050900,8084.56281000,60934.4773700,8119.55215100,6235.37645600,8718.68809900,7842.21693600,5758.17622000,4465.22130400,2927.34743700,2246.95404800,2804.08150000,2563.17354200,3224.00231700,6029.68736100,47.9796686500,14.4977878400
ReAtlas_NonPowered_Dams.142,142,OH00695,39.5367208700,-81.7220329200,NHD,MUSKINGUM RIVER LOCK AND DAM NO. 5,,WASHINGTON,Columbus,OH,MUSKINGUM RIVER,1841,2525,,13,Head estimated from NID,5,7029.96196000,11029.4315700,9377.50698600,11843.2854400,11007.7953300,7821.78738700,6267.64633200,3976.44816300,3052.21586800,3935.97314200,3481.76188400,4525.39861300,8190.60250100,60807.7076100,8102.66001200,6222.40420700,8700.54950000,7825.90177200,5746.19675200,4455.93173500,2921.25730200,2242.27942300,2798.24781100,2557.84104500,3217.29501400,6017.14303400,47.9796686500,14.4676262400
ReAtlas_NonPowered_Dams.146,146,KY01203,37.7845221400,-84.1032875100,NHD,,COMMONWEALTH OF KENTUCKY,ESTILL,FORD KENTUCKY,KY,KENTUCKY RIVER,1906,14370,,24,Head estimated from NID,5,3935.94045300,6110.01626000,7118.00193300,6950.65195300,6648.11725100,4355.64307500,2965.85527900,1482.08000100,1144.56577500,1721.35427200,1555.98332000,2969.60797400,4470.93599500,59251.7458100,7812.02864600,8220.07727600,8886.83267900,8225.82929100,5568.95547000,3669.70351200,1894.92972400,1463.39719000,2129.86111000,1989.41962700,3674.34678500,5716.36450400,47.9796686500,14.0974252500
ReAtlas_NonPowered_Dams.148,148,OH00693,39.5293818700,-81.5165311800,NHD,MUSKINGUM RIVER LOCK AND DAM NO. 3,,WASHINGTON,Columbus,OH,MUSKINGUM RIVER,1841,4492,,12,Head estimated from NID,5,7597.63830000,11920.0690200,10134.7498900,12799.6423900,11896.6856200,8453.40440900,6773.76493500,4297.55026200,3298.68530100,4253.80684300,3762.91757900,4890.82900000,8852.00170500,58712.5187900,7823.47496600,6008.00520700,8400.76358900,7556.25270100,5548.20594400,4302.39826500,2820.60253600,2165.01950100,2701.83145600,2469.70814000,3106.43997900,5809.81650700,47.9796686500,13.9691300800
ReAtlas_NonPowered_Dams.149,149,OH00692,39.4698366700,-81.4916329800,NHD,MUSKINGUM RIVER LOCK AND DAM NO. 2,,WASHINGTON,Columbus,OH,MUSKINGUM RIVER,1841,3024,,12,Head estimated from NID,5,7635.95867000,11980.1905200,10185.8667500,12864.2002100,11956.6891900,8496.04102400,6807.92991800,4319.22590800,3315.32295000,4275.26185900,3781.89668600,4915.49697800,8896.64873500,58673.3719600,7818.25862900,6003.99934300,8395.16234300,7551.21453600,5544.50665300,4299.52962200,2818.72188600,2163.57596400,2700.02999800,2468.06145100,3104.36874600,5805.94278700,47.9796686500,13.9598161000
